%Distancia,Elevacion
0,1960.443
4.59,1958.529
9.18,1956.719
13.77,1955.014
18.36,1953.414
22.95,1951.918
27.54,1950.526
32.13,1949.223
36.72,1947.654
41.31,1945.853
45.9,1944.182
50.49,1942.643
55.08,1941.234
59.67,1939.955
64.26,1938.807
68.85,1937.293
73.44,1935.632
78.03,1934.049
82.62,1932.544
87.21,1930.926
91.8,1929.31
96.39,1927.72
100.98,1925.919
105.57,1923.636
110.16,1921.458
114.75,1919.384
119.34,1917.414
123.93,1915.549
128.52,1913.789
133.11,1912.035
137.7,1910.7
142.29,1909.556
146.88,1908.569
151.47,1907.738
156.06,1907.065
160.65,1906.548
165.24,1906.188
169.83,1905.7
174.42,1905.002
179.01,1904.144
183.6,1902.193
188.19,1900.138
192.78,1897.979
197.37,1895.714
201.96,1893.23
206.55,1890.199
211.14,1887.403
215.73,1884.842
220.32,1882.517
224.91,1880.426
229.5,1878.019
234.09,1875.468
238.68,1873.001
243.27,1870.628
247.86,1868.333
252.45,1866.117
257.04,1863.979
261.63,1861.919
266.22,1859.938
270.81,1857.823
275.4,1855.199
279.99,1852.273
284.58,1849.451
289.17,1846.733
293.76,1844.12
298.35,1841.611
302.94,1839.211
307.53,1837.24
312.12,1835.426
316.71,1833.769
321.3,1832.258
325.89,1830.292
330.48,1828.274
335.07,1826.204
339.66,1823.515
344.25,1820.846
348.84,1818.62
353.43,1816.839
358.02,1815.502
362.61,1814.609
367.2,1814.161
371.79,1812.407
376.38,1808.224
380.97,1804.381
385.56,1800.877
390.15,1797.714
394.74,1794.889
399.33,1792.404
403.92,1790.259
408.51,1789.06
413.1,1787.976
417.69,1786.839
422.28,1785.562
426.87,1784.286
431.46,1783.009
436.05,1781.732
440.64,1779.863
445.23,1777.367
449.82,1774.871
454.41,1772.375
459,1769.879
463.59,1767.383
468.18,1764.309
472.77,1761.156
477.36,1758.51
481.95,1755.942
486.54,1753.452
491.13,1751.041
495.72,1748.708
500.31,1746.453
504.9,1744.277
509.49,1739.076
514.08,1732.517
518.67,1725.982
523.26,1719.604
527.85,1713.383
532.44,1707.319
537.03,1701.411
541.62,1695.875
546.21,1690.926
550.8,1686.159
555.39,1681.576
559.98,1677.166
564.57,1672.876
569.16,1668.743
573.75,1664.766
578.34,1661.024
582.93,1657.288
587.52,1653.552
592.11,1649.816
596.7,1646.08
601.29,1642.344
605.88,1638.607
610.47,1634.938
615.06,1631.276
619.65,1627.561
624.24,1623.794
628.83,1619.974
633.42,1616.103
638.01,1612.179
642.6,1608.359
647.19,1605.188
651.78,1602.096
